Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,46358994.54911919,46358994.54911918,6791184.0 
 01/01  02:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  03:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  04:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  05:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  06:00:00,46359235.70955594,46359235.70955593,6791184.0 
 01/01  07:00:00,67038773.79609013,67038773.79609013,6791184.0 
 01/01  08:00:00,46961201.9073776,46961201.9073776,6791184.0 
 01/01  09:00:00,62126708.76238901,62126708.762389004,6791184.0 
 01/01  10:00:00,80238236.3841745,80238236.3841745,6791184.0 
 01/01  11:00:00,88711815.47058173,88711815.47058171,6791184.0 
 01/01  12:00:00,95217383.41352922,95217383.41352923,6791184.0 
 01/01  13:00:00,99084719.3280066,99084719.32800658,6791184.0 
 01/01  14:00:00,100669801.95997508,100669801.9599751,6791184.0 
 01/01  15:00:00,99725604.84202145,99725604.84202145,6791184.0 
 01/01  16:00:00,96186555.02224508,96186555.02224506,6791184.0 
 01/01  17:00:00,88672116.7801247,88672116.7801247,6791184.0 
 01/01  18:00:00,84187649.46746989,84187649.46746989,6791184.0 
 01/01  19:00:00,86291568.28135024,86291568.28135024,6791184.0 
 01/01  20:00:00,70503940.405048,70503940.405048,6791184.0 
 01/01  21:00:00,64640790.06156186,64640790.06156185,6791184.0 
 01/01  22:00:00,58341768.17070158,58341768.17070157,6791184.0 
 01/01  23:00:00,51841032.78841773,51841032.78841771,6791184.0 
 01/01  24:00:00,52263218.530786484,52263218.530786484,6791184.0 
 01/02  01:00:00,70878224.807148,70878224.80714801,6791184.0 
 01/02  02:00:00,68226373.33464949,68226373.3346495,6791184.0 
 01/02  03:00:00,64610193.80291657,64610193.80291658,6791184.0 
 01/02  04:00:00,61434080.573674746,61434080.573674746,6791184.0 
 01/02  05:00:00,67916033.14330925,67916033.14330925,6791184.0 
 01/02  06:00:00,60495947.48630613,60495947.48630614,6791184.0 
 01/02  07:00:00,102265805.58311123,102265805.58311121,6791184.0 
 01/02  08:00:00,183540443.37682074,183540443.3768208,6791184.0 
 01/02  09:00:00,389900803.3441277,389900803.3441277,6791184.0 
 01/02  10:00:00,368080613.8365075,368080613.83650756,6791184.0 
 01/02  11:00:00,378303888.08534706,378303888.08534706,20522933.80492229 
 01/02  12:00:00,406912375.3727045,406912375.3727044,25783076.20022855 
 01/02  13:00:00,414730992.34630525,414730992.34630525,31704203.831552174 
 01/02  14:00:00,448814275.9159145,448814275.91591454,26445740.714475226 
 01/02  15:00:00,438188464.46082306,438188464.46082306,20247243.885495044 
 01/02  16:00:00,430414307.26721334,430414307.26721334,20171170.33011512 
 01/02  17:00:00,414755781.6791492,414755781.67914915,20831646.914607767 
 01/02  18:00:00,285464416.65495557,285464416.6549556,15462615.212654034 
 01/02  19:00:00,186434261.48485258,186434261.48485258,11018633.708619896 
 01/02  20:00:00,157864149.03416282,157864149.03416285,10940221.72243727 
 01/02  21:00:00,138093871.12518662,138093871.12518662,10957598.112983424 
 01/02  22:00:00,126765560.6356287,126765560.6356287,6791184.0 
 01/02  23:00:00,77772782.75072592,77772782.75072592,6791184.0 
 01/02  24:00:00,72442469.3608459,72442469.36084588,6791184.0 
 01/03  01:00:00,58189365.04299053,58189365.04299053,6791184.0 
 01/03  02:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  03:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  04:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  05:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  06:00:00,57609860.11373618,57609860.11373618,6791184.0 
 01/03  07:00:00,94447286.271268,94447286.27126798,6791184.0 
 01/03  08:00:00,156219220.1685416,156219220.16854167,6791184.0 
 01/03  09:00:00,353120267.5922802,353120267.5922802,6791184.0 
 01/03  10:00:00,342838568.7365235,342838568.7365235,6791184.0 
 01/03  11:00:00,345818717.5368221,345818717.536822,20527164.999318782 
 01/03  12:00:00,370497812.0781581,370497812.0781581,25789531.91485194 
 01/03  13:00:00,378373283.2966266,378373283.2966266,31710817.727270443 
 01/03  14:00:00,406578849.4525302,406578849.45253015,27362411.917304203 
 01/03  15:00:00,395542687.555761,395542687.555761,19421423.78697791 
 01/03  16:00:00,391649123.58739567,391649123.58739567,20167059.895309888 
 01/03  17:00:00,388365967.6486578,388365967.64865786,20983114.17058824 
 01/03  18:00:00,271927329.5066011,271927329.50660115,15312233.895209018 
 01/03  19:00:00,184082831.1047244,184082831.10472444,15289397.422814138 
 01/03  20:00:00,158450321.9865366,158450321.98653662,6791184.0 
 01/03  21:00:00,140542606.21898523,140542606.21898523,10967483.896339644 
 01/03  22:00:00,129336316.02367556,129336316.02367558,6791184.0 
 01/03  23:00:00,77772782.75072592,77772782.75072592,6791184.0 
 01/03  24:00:00,72442469.3608459,72442469.36084588,6791184.0 
 01/04  01:00:00,58189365.04299053,58189365.04299053,6791184.0 
 01/04  02:00:00,57609860.11373618,57609860.11373618,6791184.0 
