DateTime,Average Zone Temperature,Average Zone Humidity,Total Cooling Load,Total Heating Load,Building Power,HVAC Power,Outdoor Humidity,Wind Speed,Solar Radiation
 01/01  01:00:00,26.424367957001973,36.04057107927632,0.0,0.0,12877.49848586644,168.54201567292012,82.0,1.8875,0.0
 01/01  02:00:00,26.352189015199524,37.3635933246697,0.0,0.0,12877.565474876648,168.6090046831275,88.75,2.6125,0.0
 01/01  03:00:00,26.25579404706563,39.02022001144652,0.0,0.0,12877.565474876648,168.6090046831275,92.25,2.9875,0.0
 01/01  04:00:00,26.154129346846716,40.623500454980444,0.0,0.0,12877.565474876648,168.6090046831275,93.0,3.0375,0.0
 01/01  05:00:00,26.079304021094085,41.866952139129005,0.0,0.0,12877.565474876648,168.6090046831275,91.75,2.875,0.0
 01/01  06:00:00,26.01002309617329,42.845151293175554,0.0,0.0,12877.565474876648,168.6090046831275,90.375,2.925,0.0
 01/01  07:00:00,25.826433488547337,44.06582996121506,6526.062526898642,27.711934898257823,18621.88161002504,1820.5524048943023,86.875,3.0,0.0
 01/01  08:00:00,26.02616824291199,44.279573896658036,0.0,0.0,13044.778307604887,197.9059071747864,81.875,2.875,41.8125
 01/01  09:00:00,26.302264757954266,43.92472693275627,14281.014836738399,498.3647831727785,17257.419100663614,4596.2067162269,74.375,2.55,264.5625
 01/01  10:00:00,26.221175830554884,42.35392658008648,28683.50642214017,191.42489665810263,22288.398995604024,9628.21889416715,67.25,2.15,439.0
 01/01  11:00:00,26.346955792717964,40.34353637760779,34011.5899198799,31.53924039762751,24642.17096405048,11981.990862613602,59.375,1.8125,308.8125
 01/01  12:00:00,26.555318390483396,38.933640520618205,40614.92838708004,121.952156262505,26449.273170424785,13789.09306898791,54.125,1.575,662.9375
 01/01  13:00:00,26.73051230061631,38.66631651691141,42130.995292624466,123.53975065715896,27523.53314666849,14863.35304523162,49.875,1.5,617.375
 01/01  14:00:00,26.89953410090782,38.57644969459132,44258.26032838372,246.49623074728515,27963.833877770863,15303.653776333984,46.75,1.6250000000000002,487.8125
 01/01  15:00:00,26.94012441150069,38.4947664528238,47724.94120461071,102.94430281623865,27701.556900561514,15041.37679912464,44.125,1.825,314.625
 01/01  16:00:00,26.94487639457893,37.54602550499258,45406.99154085189,106.7842685566884,26718.48750617919,14058.30740474231,43.0,2.025,322.125
 01/01  17:00:00,26.796308763920926,36.142446103617296,38552.885852576874,15.654909115435656,24631.143550034634,11970.370327184795,43.625,2.1625000000000005,98.9375
 01/01  18:00:00,26.609352180858547,34.73445189238726,35836.86621376367,0.0,23385.4581854083,10683.67325058104,48.375,2.2,61.3125
 01/01  19:00:00,26.337501399093508,34.30093328813453,26855.99029638611,0.0,23969.880078152844,8222.19019996784,55.375,2.075,0.0
 01/01  20:00:00,26.23484777708491,34.32477131289483,20980.941122106076,63.19556529362762,19584.427890291103,6168.421420097588,63.0,1.8125,0.0
 01/01  21:00:00,26.22282463214493,34.72051255069169,16850.92768039137,207.28751630462196,17955.775017100514,4539.768546906994,67.25,1.5124999999999995,0.0
 01/01  22:00:00,26.168576173364855,35.21297189193263,9855.097781262093,22.68372036625442,16206.046714083772,2790.0402438902506,69.875,1.275,0.0
 01/01  23:00:00,26.466768744444902,34.933612305378006,3171.1377214375784,20.215533948338816,14400.286885671589,984.2804154780664,71.0,1.1375,0.0
 01/01  24:00:00,26.332932765358716,35.62937052149058,3354.9108925443234,0.0,14517.560702996248,1101.554232802726,74.75,1.1625,0.0
 01/02  01:00:00,26.08950947181138,36.8967657817,13293.755592449163,48.18506359147159,19688.39577976333,3886.855837221844,78.875,1.3249999999999995,0.0
 01/02  02:00:00,26.181161324746437,37.71919830179806,9803.29237882305,48.90499495634867,18951.77037073597,3150.2304281944807,84.375,1.5875,0.0
 01/02  03:00:00,26.02733040136693,39.55234146708964,6577.748247195898,20.684838998747185,17947.276056365714,2145.736113824227,88.875,1.95,0.0
 01/02  04:00:00,26.06269698598133,40.77967147931535,3308.009566495605,0.0,17065.02238157632,1263.4824390348297,91.25,2.2875,0.0
 01/02  05:00:00,25.712771130547264,42.85494859690989,12722.860356253716,44.19758128155445,18865.564762030343,3064.024819488858,90.75,2.275,0.0
 01/02  06:00:00,25.844270898062202,42.89217244087367,6020.7068010538815,24.42764357658598,16804.42985730726,1002.889914765772,90.0,2.2,0.0
 01/02  07:00:00,24.976184768174157,45.43854207624758,45440.793497100625,582.7071664269952,28407.16821753089,6663.986581433517,86.25,2.2625,0.0
 01/02  08:00:00,24.113023400788837,47.24504332045768,87590.96698911747,76.53450850979789,50983.45649356133,16287.101229976504,79.625,2.2375,70.3125
 01/02  09:00:00,24.142275188299777,47.091500499701084,130736.26060549989,0.0,108305.77870670213,30619.624824739614,70.125,2.2625,340.6875
