DateTime,Temperature,Humidity,Building Power,HVAC Power,Comfort Score,Comfort Status,Energy Score,Energy Status,Carbon Score,Carbon Status,HVAC Score,HVAC Status
 01/01  01:00:00,26.424367957001973,36.04057107927632,12877.49848586644,168.54201567292012,93.63,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  02:00:00,26.352189015199524,37.3635933246697,12877.565474876648,168.6090046831275,94.72,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  03:00:00,26.25579404706563,39.02022001144652,12877.565474876648,168.6090046831275,96.16,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  04:00:00,26.15412934684672,40.62350045498045,12877.565474876648,168.6090046831275,97.69,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  05:00:00,26.079304021094085,41.866952139129005,12877.565474876648,168.6090046831275,98.81,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  06:00:00,26.01002309617329,42.845151293175554,12877.565474876648,168.6090046831275,99.85,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  07:00:00,25.826433488547337,44.06582996121506,18621.88161002504,1820.5524048943023,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  08:00:00,26.02616824291199,44.27957389665804,13044.778307604887,197.9059071747864,99.61,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  09:00:00,26.302264757954266,43.92472693275627,17257.419100663614,4596.2067162269,95.47,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  10:00:00,26.221175830554884,42.35392658008648,22288.398995604024,9628.21889416715,96.68,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  11:00:00,26.346955792717964,40.34353637760779,24642.17096405048,11981.990862613602,94.8,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  12:00:00,26.5553183904834,38.933640520618205,26449.273170424785,13789.09306898791,91.67,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  13:00:00,26.73051230061631,38.66631651691141,27523.53314666849,14863.35304523162,89.04,Too Hot,100.0,Excellent,100.0,Excellent,55,Too Aggressive
 01/01  14:00:00,26.89953410090782,38.57644969459132,27963.833877770863,15303.653776333984,86.51,Too Hot,100.0,Excellent,100.0,Excellent,55,Too Aggressive
 01/01  15:00:00,26.94012441150069,38.4947664528238,27701.556900561514,15041.37679912464,85.9,Too Hot,100.0,Excellent,100.0,Excellent,55,Too Aggressive
 01/01  16:00:00,26.94487639457893,37.54602550499258,26718.48750617919,14058.30740474231,85.83,Too Hot,100.0,Excellent,100.0,Excellent,55,Too Aggressive
 01/01  17:00:00,26.796308763920926,36.142446103617296,24631.143550034634,11970.370327184795,88.06,Too Hot,100.0,Excellent,100.0,Excellent,55,Too Aggressive
 01/01  18:00:00,26.609352180858547,34.73445189238726,23385.4581854083,10683.67325058104,90.86,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  19:00:00,26.337501399093508,34.30093328813453,23969.880078152844,8222.19019996784,94.94,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  20:00:00,26.23484777708491,34.32477131289483,19584.427890291103,6168.421420097588,96.48,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  21:00:00,26.22282463214493,34.72051255069169,17955.775017100514,4539.768546906994,96.66,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  22:00:00,26.16857617336485,35.21297189193263,16206.046714083772,2790.0402438902506,97.47,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  23:00:00,26.466768744444902,34.933612305378006,14400.286885671589,984.2804154780664,93.0,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/01  24:00:00,26.33293276535872,35.62937052149058,14517.560702996248,1101.554232802726,95.01,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  01:00:00,26.08950947181138,36.8967657817,19688.39577976333,3886.855837221844,98.66,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  02:00:00,26.18116132474644,37.71919830179806,18951.77037073597,3150.2304281944807,97.28,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  03:00:00,26.02733040136693,39.55234146708964,17947.276056365714,2145.736113824227,99.59,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  04:00:00,26.06269698598133,40.77967147931535,17065.02238157632,1263.4824390348297,99.06,Too Hot,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  05:00:00,25.712771130547264,42.85494859690989,18865.564762030343,3064.024819488858,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  06:00:00,25.8442708980622,42.89217244087367,16804.42985730726,1002.889914765772,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  07:00:00,24.97618476817416,45.43854207624758,28407.16821753089,6663.986581433517,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  08:00:00,24.11302340078884,47.24504332045768,50983.45649356133,16287.101229976504,100.0,Excellent,80.0,Acceptable,80.0,Acceptable,100,Excellent
 01/02  09:00:00,24.142275188299777,47.09150049970109,108305.77870670213,30619.62482473961,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  10:00:00,24.1756208235962,47.24987329602303,102244.61495458544,32939.532501194335,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  11:00:00,24.348324678855207,45.96235786054349,105084.41335704084,37713.42431024314,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  12:00:00,24.471979176183925,43.90100502386451,113031.21538130676,43726.13292791569,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  13:00:00,24.56986535001088,42.78293240770604,115203.05342952925,44894.718840093024,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  14:00:00,24.60797481145308,42.81083598962032,124670.63219886516,53753.80523997954,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  15:00:00,24.616765152105597,43.36685460216787,121719.0179057842,54348.02885898649,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  16:00:00,24.486422204998437,41.99574906524169,119559.52979644816,52188.540749650456,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  17:00:00,24.327103663176885,40.937767374628905,115209.93935531922,44937.81019863141,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/02  18:00:00,24.20858289451832,39.95054123645399,79295.67129304321,28009.483717277188,100.0,Excellent,27.96,Higher Consumption,27.96,Higher Carbon,60,Higher Consumption
 01/02  19:00:00,24.18100295351677,39.00801902174735,51787.29485690349,18475.714117736898,100.0,Excellent,80.0,Acceptable,80.0,Acceptable,100,Excellent
 01/02  20:00:00,24.148669580059146,38.33730156201568,43851.15250948968,15289.162979114286,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  21:00:00,24.11593159058772,38.85677624474699,38359.40864588517,12757.075250251924,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  22:00:00,24.079402599975023,40.26730472356183,35212.655732119085,10899.71794088144,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  23:00:00,25.096552498465737,38.9231352843914,21603.55076409053,250.26910759502385,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/02  24:00:00,25.35640467312596,38.83478648180423,20122.90815579052,249.454566666085,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  01:00:00,25.28705303252261,39.446062729505634,16163.712511941816,201.28916140884087,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  02:00:00,25.207451404420183,39.95177440201189,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  03:00:00,25.13942914351712,40.53680372102953,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  04:00:00,25.06885114706118,41.16262745194568,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  05:00:00,25.01432554018481,41.69880531395581,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  06:00:00,24.97764312446841,42.04767819727271,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  07:00:00,24.19232116927272,45.61197657285483,26235.35729757444,4492.175661477064,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  08:00:00,23.779001893887678,48.68441827958283,43394.227824594906,8677.297433556334,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  09:00:00,24.046500058125144,48.90180829743221,98088.96322007784,20402.8093381153,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,90,Efficient
 01/03  10:00:00,24.112627022643206,47.95104220860039,95232.9357601454,25927.85330675432,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  11:00:00,24.207955714017714,47.37804835246283,96060.75487133944,28689.765824541755,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  12:00:00,24.22844072029109,47.04774033599543,102916.05891059947,33610.97645720838,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  13:00:00,24.347230306401872,45.35292614800895,105103.68980461852,34795.35521518229,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  14:00:00,24.390049396512826,44.70219363587879,112938.56929236947,42021.74233348388,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  15:00:00,24.422626831311355,44.54396933739368,109872.96876548916,42501.979718691466,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  16:00:00,24.325607744928057,43.789516551966,108791.423218721,41420.43417192331,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  17:00:00,24.22349220609675,43.875864619856166,107879.43545796051,37607.30630127271,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/03  18:00:00,24.17922318541772,43.4379712853264,75535.3693073892,24440.25025056757,100.0,Excellent,34.7,Higher Consumption,34.7,Higher Carbon,60,Higher Consumption
 01/03  19:00:00,24.148187204124028,41.96624641026345,51134.11975131235,17822.539012145746,100.0,Excellent,80.0,Acceptable,80.0,Acceptable,100,Excellent
 01/03  20:00:00,24.10095584140926,40.905212562825085,44013.97832959351,15451.98879921811,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  21:00:00,24.050367935022177,41.13044198311912,39039.61283860701,13437.27944297376,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  22:00:00,24.002208515853454,41.60264218538764,35926.75445102099,11613.816659783348,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  23:00:00,24.816158579238653,40.28376460168336,21603.55076409053,250.26910759502385,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/03  24:00:00,25.023324283406872,40.58360036730876,20122.90815579052,249.454566666085,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  01:00:00,24.98379376161186,41.15646802663735,16163.712511941816,201.28916140884087,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  02:00:00,24.96382896371041,41.30192350349479,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  03:00:00,24.928658371368087,41.418164988010574,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  04:00:00,24.845547687895085,41.69611372447178,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  05:00:00,24.75213102870311,42.02764209433888,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  06:00:00,24.70310339130009,41.98492539465647,16002.738920482274,201.198977940785,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  07:00:00,23.96841242543369,42.85165444291156,29851.44011026187,8108.258474164495,100.0,Excellent,100.0,Excellent,100.0,Excellent,100,Excellent
 01/04  08:00:00,23.679036607023168,42.86857413645375,46897.78707287185,12204.42685320506,100.0,Excellent,90.0,Good,100.0,Excellent,100,Excellent
 01/04  09:00:00,24.02348577366764,43.80597251414624,99764.0047118386,22077.850829876064,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,80,Acceptable
 01/04  10:00:00,24.097058199416235,46.34874432487728,94338.58745683543,25033.505003444345,100.0,Excellent,1.01,Higher Consumption,1.01,Higher Carbon,60,Higher Consumption
 01/04  11:00:00,24.17245059365679,48.28921180345177,97170.83057775984,29799.84153096213,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/04  12:00:00,24.236509236108144,49.18763651658006,103672.21078445856,34367.12833106747,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/04  13:00:00,24.235403793117907,48.934809490865625,105238.25254861193,34929.917959175706,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/04  14:00:00,24.22151118274841,49.06117215610275,111848.6232841892,40931.7963253036,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/04  15:00:00,24.269334466504414,48.81830730742429,108342.56206997045,40971.57302317273,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
 01/04  16:00:00,24.18874462173808,48.92253115017725,107089.04579526332,39718.05674846562,100.0,Excellent,0.0,Higher Consumption,0.0,Higher Carbon,60,Higher Consumption
